Name,Path
Fast Fourier Transform Implementation,/Users/ginoprasad/eng_math/fast_fourier_transform.ipynb
U-Net Convolutional Neural Network Implementation,/Users/ginoprasad/ai_stuff/unet_implementation.ipynb
Multilayer Neural Network Implementation From Scratch: Handwritten Text Parser,/Users/ginoprasad/ai_stuff/text_classifier/Multilayer Neural Network.ipynb
Image Segmenter using Connected Components,/Users/ginoprasad/ai_stuff/text_classifier/Image Segmenter.ipynb
Perceptron Implementation From Scratch: Handwritten Text Parser,/Users/ginoprasad/ai_stuff/text_classifier/Handwriten Text Parser.ipynb
Gaussian Filter Implementation,/Users/ginoprasad/ai_stuff/Gaussian Blur Test.ipynb
Pitch Reconstruction with Audio Processing,/Users/ginoprasad/ai_stuff/audio_transcriber/play_note.ipynb
Lagrange and Gregory-Newton Interpolation,/Users/ginoprasad/eng_math/interpolation.ipynb
Image Edge Detector,/Users/ginoprasad/ai_stuff/edge_detector.ipynb
